anio,posicion,nombre_dj,movimiento,variacion,url
2004,1,Tiësto,re-entry,,/top100djs/2004/1/Tiësto
2004,2,Paul van Dyk,re-entry,,/top100djs/2004/2/Paul-van-Dyk
2004,3,Armin Van Buuren,re-entry,,/top100djs/2004/3/Armin-Van-Buuren
2004,4,Sasha,re-entry,,/top100djs/2004/4/Sasha
2004,5,Ferry Corsten,1,Sube,/top100djs/2004/5/Ferry-Corsten
2004,6,Hernan Cattaneo,16,Sube,/top100djs/2004/6/Hernan-Cattaneo
2004,7,Christopher Lawrence,28,Sube,/top100djs/2004/7/Christopher-Lawrence
2004,8,John Digweed,3,Baja,/top100djs/2004/8/John-Digweed
2004,9,Paul Oakenfold,1,Baja,/top100djs/2004/9/Paul-Oakenfold
2004,10,Deep Dish,re-entry,,/top100djs/2004/10/Deep-Dish
2004,11,Carl Cox,4,Baja,/top100djs/2004/11/Carl-Cox
2004,12,Sander Kleinenberg,1,Sube,/top100djs/2004/12/Sander-Kleinenberg
2004,13,ATB,34,Sube,/top100djs/2004/13/ATB
2004,14,Judge Jules,5,Baja,/top100djs/2004/14/Judge-Jules
2004,15,James Zabiela,4,Baja,/top100djs/2004/15/James-Zabiela
2004,16,Marco V,1,Baja,/top100djs/2004/16/Marco-V
2004,17,Roger Sanchez,4,Sube,/top100djs/2004/17/Roger-Sanchez
2004,18,Benny Benassi,new entry,,/top100djs/2004/18/Benny-Benassi
2004,19,Tall Paul,re-entry,,/top100djs/2004/19/Tall-Paul
2004,20,Danny Howells,8,Baja,/top100djs/2004/20/Danny-Howells
2004,21,Steve Lawler,7,Baja,/top100djs/2004/21/Steve-Lawler
2004,22,Erick Morillo,6,Baja,/top100djs/2004/22/Erick-Morillo
2004,23,Chris Liebing,65,Sube,/top100djs/2004/23/Chris-Liebing
2004,24,DJ Dan,re-entry,,/top100djs/2004/24/DJ-Dan
2004,25,Eddie Halliwell,5,Baja,/top100djs/2004/25/Eddie-Halliwell
2004,26,Andy C,45,Sube,/top100djs/2004/26/Andy-C
2004,27,Mauro Picotto,10,Baja,/top100djs/2004/27/Mauro-Picotto
2004,28,Johan Gielen,4,Baja,/top100djs/2004/28/Johan-Gielen
2004,29,Lady Dana,26,Sube,/top100djs/2004/29/Lady-Dana
2004,30,Lisa Lashes,4,Baja,/top100djs/2004/30/Lisa-Lashes
2004,31,Adam Freeland,5,Sube,/top100djs/2004/31/Adam-Freeland
2004,32,Markus Schulz,new entry,,/top100djs/2004/32/Markus-Schulz
2004,33,Yoji Biomehanika,37,Sube,/top100djs/2004/33/Yoji-Biomehanika
2004,34,Sven Väth,7,Sube,/top100djs/2004/34/Sven-Väth
2004,35,Bad Boy Bill,37,Sube,/top100djs/2004/35/Bad-Boy-Bill
2004,36,James Holden,40,Sube,/top100djs/2004/36/James-Holden
2004,37,Dave Clarke,6,Baja,/top100djs/2004/37/Dave-Clarke
2004,38,Blank & Jones,35,Sube,/top100djs/2004/38/Blank--Jones
2004,39,Above & Beyond,re-entry,,/top100djs/2004/39/Above--Beyond
2004,40,Danny Tenaglia,22,Baja,/top100djs/2004/40/Danny-Tenaglia
2004,41,Gabriel & Dresden,1,Sube,/top100djs/2004/41/Gabriel--Dresden
2004,42,TBC,,,/top100djs/2004/42/TBC
2004,43,Nick Warren,15,Baja,/top100djs/2004/43/Nick-Warren
2004,44,Richie Hawtin,11,Baja,/top100djs/2004/44/Richie-Hawtin
2004,45,Laurent Garnier,16,Baja,/top100djs/2004/45/Laurent-Garnier
2004,46,Pete Tong,21,Baja,/top100djs/2004/46/Pete-Tong
2004,47,Jeff Mills,8,Baja,/top100djs/2004/47/Jeff-Mills
2004,48,Satoshi Tomiie,14,Baja,/top100djs/2004/48/Satoshi-Tomiie
2004,49,Misstress Barbara,re-entry,,/top100djs/2004/49/Misstress-Barbara
2004,50,Adam Beyer,15,Sube,/top100djs/2004/50/Adam-Beyer
2004,51,Fatboy Slim,8,Baja,/top100djs/2004/51/Fatboy-Slim
2004,52,John '00' Fleming,25,Baja,/top100djs/2004/52/John-00-Fleming
2004,53,Plump DJ's,16,Baja,/top100djs/2004/53/Plump-DJs
2004,54,David Morales,28,Sube,/top100djs/2004/54/David-Morales
2004,55,Umek,10,Baja,/top100djs/2004/55/Umek
2004,56,Lee Burridge,12,Baja,/top100djs/2004/56/Lee-Burridge
2004,57,Dave Seaman,17,Baja,/top100djs/2004/57/Dave-Seaman
2004,58,Fergie,35,Baja,/top100djs/2004/58/Fergie
2004,59,Matt Hardwick,5,Sube,/top100djs/2004/59/Matt-Hardwick
2004,60,Slacker,re-entry,,/top100djs/2004/60/Slacker
2004,61,DJ Luna,new entry,,/top100djs/2004/61/DJ-Luna
2004,62,M.I.K.E,12,Baja,/top100djs/2004/62/M.I.K.E
2004,63,DJ Rush,re-entry,,/top100djs/2004/63/DJ-Rush
2004,64,Max Graham,8,Baja,/top100djs/2004/64/Max-Graham
2005,1,Paul van Dyk,1,Sube,/top100djs/2005/1/Paul-van-Dyk
2005,2,Tiësto,1,Baja,/top100djs/2005/2/Tiësto
2005,3,Armin Van Buuren,NON MOVER,,/top100djs/2005/3/Armin-Van-Buuren
2005,4,Sasha,NON MOVER,,/top100djs/2005/4/Sasha
2005,5,Ferry Corsten,NON MOVER,,/top100djs/2005/5/Ferry-Corsten
2005,6,John Digweed,2,Sube,/top100djs/2005/6/John-Digweed
2005,7,Hernan Cattaneo,1,Baja,/top100djs/2005/7/Hernan-Cattaneo
2005,8,Deep Dish,2,Sube,/top100djs/2005/8/Deep-Dish
2005,9,ATB,4,Sube,/top100djs/2005/9/ATB
2005,10,Carl Cox,1,Sube,/top100djs/2005/10/Carl-Cox
2005,11,Paul Oakenfold,2,Baja,/top100djs/2005/11/Paul-Oakenfold
2005,12,Richie Hawtin,32,Sube,/top100djs/2005/12/Richie-Hawtin
2005,13,James Zabiela,2,Sube,/top100djs/2005/13/James-Zabiela
2005,14,Christopher Lawrence,7,Baja,/top100djs/2005/14/Christopher-Lawrence
2005,15,Judge Jules,1,Baja,/top100djs/2005/15/Judge-Jules
2005,16,Marco V,re-entry,,/top100djs/2005/16/Marco-V
2005,17,Eddie Halliwell,8,Sube,/top100djs/2005/17/Eddie-Halliwell
2005,18,Erick Morillo,4,Sube,/top100djs/2005/18/Erick-Morillo
2005,19,Above & Beyond,20,Sube,/top100djs/2005/19/Above--Beyond
2005,20,Sander Kleinenberg,8,Baja,/top100djs/2005/20/Sander-Kleinenberg
2005,21,Markus Schulz,21,Sube,/top100djs/2005/21/Markus-Schulz
2005,22,Benny Benassi,4,Baja,/top100djs/2005/22/Benny-Benassi
2005,23,Sven Väth,11,Sube,/top100djs/2005/23/Sven-Väth
2005,24,DJ Dan,re-entry,,/top100djs/2005/24/DJ-Dan
2005,25,Danny Howells,5,Baja,/top100djs/2005/25/Danny-Howells
2005,26,Infected Mushroom,new entry,,/top100djs/2005/26/Infected-Mushroom
2005,27,Roger Sanchez,10,Baja,/top100djs/2005/27/Roger-Sanchez
2005,28,Mauro Picotto,1,Baja,/top100djs/2005/28/Mauro-Picotto
2005,29,Gabriel & Dresden,12,Sube,/top100djs/2005/29/Gabriel--Dresden
2005,30,Steve Lawler,9,Baja,/top100djs/2005/30/Steve-Lawler
2005,31,Blank & Jones,7,Sube,/top100djs/2005/31/Blank--Jones
2005,32,Yoji Biomehanika,1,Sube,/top100djs/2005/32/Yoji-Biomehanika
2005,33,Chris Liebing,10,Baja,/top100djs/2005/33/Chris-Liebing
2005,34,Danny Tenaglia,6,Sube,/top100djs/2005/34/Danny-Tenaglia
2005,35,Nick Warren,8,Sube,/top100djs/2005/35/Nick-Warren
2005,36,Dave Clarke,1,Sube,/top100djs/2005/36/Dave-Clarke
2005,37,James Holden,1,Baja,/top100djs/2005/37/James-Holden
2005,38,Mario Piu,re-entry,,/top100djs/2005/38/Mario-Piu
2005,39,David Guetta,new entry,,/top100djs/2005/39/David-Guetta
2005,40,DJ Vibe,40,Sube,/top100djs/2005/40/DJ-Vibe
2005,41,Kai Tracid,28,Sube,/top100djs/2005/41/Kai-Tracid
2005,42,Bad Boy Bill,7,Baja,/top100djs/2005/42/Bad-Boy-Bill
2005,43,Tall Paul,24,Baja,/top100djs/2005/43/Tall-Paul
2005,44,Tiga,new entry,,/top100djs/2005/44/Tiga
2005,45,DJ Yahel,re-entry,,/top100djs/2005/45/DJ-Yahel
2005,46,Andy Moor,new entry,,/top100djs/2005/46/Andy-Moor
2005,47,Ricardo Villalobos,new entry,,/top100djs/2005/47/Ricardo-Villalobos
2005,48,Ricky Stone,new entry,,/top100djs/2005/48/Ricky-Stone
2005,49,Pete Tong,3,Baja,/top100djs/2005/49/Pete-Tong
2005,50,Martin Garcia,new entry,,/top100djs/2005/50/Martin-Garcia
2005,51,Frank T.R.A.X,new entry,,/top100djs/2005/51/Frank-T.R.A.X
2005,52,Timo Maas,re-entry,,/top100djs/2005/52/Timo-Maas
2005,53,Laurent Garnier,8,Baja,/top100djs/2005/53/Laurent-Garnier
2005,54,Desyn Masiello,new entry,,/top100djs/2005/54/Desyn-Masiello
2005,55,Victor Calderone,11,Sube,/top100djs/2005/55/Victor-Calderone
2005,56,Lisa Lashes,26,Baja,/top100djs/2005/56/Lisa-Lashes
2005,57,Johan Gielen,29,Baja,/top100djs/2005/57/Johan-Gielen
2005,58,Matt Hardwick,1,Sube,/top100djs/2005/58/Matt-Hardwick
2005,59,Misstress Barbara,10,Baja,/top100djs/2005/59/Misstress-Barbara
2005,60,Fergie,2,Baja,/top100djs/2005/60/Fergie
2005,61,Armand Van Helden,23,Sube,/top100djs/2005/61/Armand-Van-Helden
2005,62,Michel De Hey,3,Sube,/top100djs/2005/62/Michel-De-Hey
2005,63,Fatboy Slim,12,Baja,/top100djs/2005/63/Fatboy-Slim
